X	Y	Z	Data
0	-300,000,000	0	369,887,300
0	0	-300,000,000	473,015,300
-300,000,000	0	0	117,259,800
0	0	300,000,000	286,048,500
300,000,000	0	0	347,075,500
0	300,000,000	0	270,762,500
0	-212,132,000	-212,132,000	441,417,200
-212,132,000	0	-212,132,000	580,346,000
-212,132,000	-212,132,000	0	343,821,000
-212,132,000	0	212,132,000	241,346,800
0	-212,132,000	212,132,000	398,765,400
212,132,000	0	-212,132,000	512,345,600
212,132,000	-212,132,000	0	287,654,300
212,132,000	0	212,132,000	354,321,000
0	212,132,000	-212,132,000	423,456,700
0	212,132,000	212,132,000	312,345,600
-150,000,000	-150,000,000	-150,000,000	456,789,000
150,000,000	150,000,000	150,000,000	234,567,800
-150,000,000	150,000,000	-150,000,000	345,678,900
150,000,000	-150,000,000	150,000,000	412,345,600
