x,y,z,magnetic
100,50,0.82,234.5
105,52,0.85,231.2
110,55,0.88,228.7
115,58,0.91,225.1
120,60,0.95,221.8
125,62,0.98,218.3
130,65,1.02,215.0
135,68,1.05,211.5
140,70,1.08,208.2
145,72,1.12,204.7
150,75,1.15,201.3
155,78,1.18,198.0
160,80,1.22,194.5
165,82,1.25,191.2
170,85,1.28,187.8
175,88,1.32,184.3
180,90,1.35,181.0
185,92,1.38,177.5
190,95,1.42,174.2
195,98,1.45,170.8
200,100,1.48,167.3
205,102,1.52,164.0
210,105,1.55,160.5
215,108,1.58,157.2
220,110,1.62,153.8
225,112,1.65,150.3
230,115,1.68,147.0
235,118,1.72,143.5
240,120,1.75,140.2
245,122,1.78,136.8
250,125,1.82,133.3
255,128,1.85,130.0
260,130,1.88,126.5
265,132,1.92,123.2
270,135,1.95,119.8
275,138,1.98,116.3
280,140,2.02,113.0
285,142,2.05,109.5
290,145,2.08,106.2
295,148,2.12,102.8
300,150,2.15,99.3
305,152,2.18,96.0
310,155,2.22,92.5
315,158,2.25,89.2
320,160,2.28,85.8
325,162,2.32,82.3
330,165,2.35,79.0
335,168,2.38,75.5
340,170,2.42,72.2
345,172,2.45,68.8
350,175,2.48,65.3
355,178,2.52,62.0
360,180,2.55,58.5
365,182,2.58,55.2
370,185,2.62,51.8
375,188,2.65,48.3
380,190,2.68,45.0
385,192,2.72,41.5
390,195,2.75,38.2
395,198,2.78,34.8
400,200,2.82,31.3
405,202,2.85,28.0
410,205,2.88,24.5
415,208,2.92,21.2
420,210,2.95,17.8
425,212,2.98,14.3
430,215,3.02,11.0
435,218,3.05,7.5
440,220,3.08,4.2
445,222,3.12,0.8
450,225,3.15,-2.5
455,228,3.18,-5.8
460,230,3.22,-9.2
465,232,3.25,-12.5
470,235,3.28,-15.8
475,238,3.32,-19.2
480,240,3.35,-22.5
485,242,3.38,-25.8
490,245,3.42,-29.2
495,248,3.45,-32.5
500,250,3.48,-35.8
505,252,3.52,-39.2
510,255,3.55,-42.5
515,258,3.58,-45.8
520,260,3.62,-49.2
525,262,3.65,-52.5
530,265,3.68,-55.8
535,268,3.72,-59.2
540,270,3.75,-62.5
545,272,3.78,-65.8
550,275,3.82,-69.2
555,278,3.85,-72.5
560,280,3.88,-75.8
565,282,3.92,-79.2
570,285,3.95,-82.5
575,288,3.98,-85.8
580,290,4.02,-89.2
585,292,4.05,-92.5
590,295,4.08,-95.8
595,298,4.12,-99.2
600,300,4.15,-102.5
