X,Y,Z,Anomaly
0.0,0.0,-1.2,12.5
2.0,0.0,-1.3,14.1
4.0,0.0,-1.1,18.6
6.0,0.0,-1.0,28.4
8.0,0.0,-0.9,45.2
10.0,0.0,-0.8,95.7
12.0,0.0,-0.9,180.3
14.0,0.0,-1.1,240.8
16.0,0.0,-1.3,165.2
18.0,0.0,-1.4,70.1
20.0,0.0,-1.5,25.0
0.0,2.0,-1.1,15.2
2.0,2.0,-1.2,19.8
4.0,2.0,-1.0,32.1
6.0,2.0,-0.8,65.4
8.0,2.0,-0.7,140.8
10.0,2.0,-0.6,285.5
12.0,2.0,-0.7,420.0
14.0,2.0,-0.9,350.2
16.0,2.0,-1.1,210.4
18.0,2.0,-1.3,95.3
20.0,2.0,-1.4,32.1
0.0,4.0,-1.0,14.1
2.0,4.0,-1.1,22.0
4.0,4.0,-0.9,45.0
6.0,4.0,-0.7,110.2
8.0,4.0,-0.5,260.4
10.0,4.0,-0.4,480.9
12.0,4.0,-0.5,590.2
14.0,4.0,-0.7,410.8
16.0,4.0,-1.0,230.1
18.0,4.0,-1.2,105.0
20.0,4.0,-1.3,38.4
0.0,6.0,-1.2,11.2
2.0,6.0,-1.3,18.0
4.0,6.0,-1.1,30.5
6.0,6.0,-0.9,78.2
8.0,6.0,-0.7,185.0
10.0,6.0,-0.6,320.4
12.0,6.0,-0.7,390.1
14.0,6.0,-0.9,280.5
16.0,6.0,-1.1,145.2
18.0,6.0,-1.3,60.1
20.0,6.0,-1.4,22.4
